NAME,DAY,ALPHA,XGB_ACC,RF_ACC,ACC
삼성전자,5,0.2,0.6700680272108843,0.6462585034013606,0.6802721088435374
삼성전자,5,0.4,0.6700680272108843,0.6462585034013606,0.6700680272108843
삼성전자,5,0.6,0.6700680272108843,0.6462585034013606,0.6496598639455783
삼성전자,5,0.8,0.6700680272108843,0.6462585034013606,0.6496598639455783
삼성전자,20,0.2,0.8191126279863481,0.7713310580204779,0.8122866894197952
삼성전자,20,0.4,0.8191126279863481,0.7713310580204779,0.8225255972696246
삼성전자,20,0.6,0.8191126279863481,0.7713310580204779,0.8122866894197952
삼성전자,20,0.8,0.8191126279863481,0.7713310580204779,0.7986348122866894
삼성전자,60,0.2,0.8041237113402062,0.5738831615120275,0.6529209621993127
삼성전자,60,0.4,0.8041237113402062,0.5738831615120275,0.6116838487972509
삼성전자,60,0.6,0.8041237113402062,0.5738831615120275,0.6116838487972509
삼성전자,60,0.8,0.8041237113402062,0.5738831615120275,0.6048109965635738
삼성전자,120,0.2,0.8090277777777778,0.65625,0.7986111111111112
삼성전자,120,0.4,0.8090277777777778,0.65625,0.7951388888888888
삼성전자,120,0.6,0.8090277777777778,0.65625,0.7951388888888888
삼성전자,120,0.8,0.8090277777777778,0.65625,0.7291666666666666
SK하이닉스,5,0.2,0.7346938775510204,0.7244897959183674,0.7414965986394558
SK하이닉스,5,0.4,0.7346938775510204,0.7244897959183674,0.7448979591836735
SK하이닉스,5,0.6,0.7346938775510204,0.7244897959183674,0.7380952380952381
SK하이닉스,5,0.8,0.7346938775510204,0.7244897959183674,0.7142857142857143
SK하이닉스,20,0.2,0.658703071672355,0.7201365187713311,0.6723549488054608
SK하이닉스,20,0.4,0.658703071672355,0.7201365187713311,0.6655290102389079
SK하이닉스,20,0.6,0.658703071672355,0.7201365187713311,0.6757679180887372
SK하이닉스,20,0.8,0.658703071672355,0.7201365187713311,0.6996587030716723
SK하이닉스,60,0.2,0.6597938144329897,0.6460481099656358,0.6494845360824743
SK하이닉스,60,0.4,0.6597938144329897,0.6460481099656358,0.6254295532646048
SK하이닉스,60,0.6,0.6597938144329897,0.6460481099656358,0.6323024054982818
SK하이닉스,60,0.8,0.6597938144329897,0.6460481099656358,0.6460481099656358
SK하이닉스,120,0.2,0.6909722222222222,0.5763888888888888,0.6909722222222222
SK하이닉스,120,0.4,0.6909722222222222,0.5763888888888888,0.6597222222222222
SK하이닉스,120,0.6,0.6909722222222222,0.5763888888888888,0.6458333333333334
SK하이닉스,120,0.8,0.6909722222222222,0.5763888888888888,0.6215277777777778
LG화학,5,0.2,0.726530612244898,0.6571428571428571,0.7183673469387755
LG화학,5,0.4,0.726530612244898,0.6571428571428571,0.7142857142857143
LG화학,5,0.6,0.726530612244898,0.6571428571428571,0.6857142857142857
LG화학,5,0.8,0.726530612244898,0.6571428571428571,0.6775510204081633
LG화학,20,0.2,0.7622950819672131,0.7213114754098361,0.7581967213114754
LG화학,20,0.4,0.7622950819672131,0.7213114754098361,0.7581967213114754
LG화학,20,0.6,0.7622950819672131,0.7213114754098361,0.7581967213114754
LG화학,20,0.8,0.7622950819672131,0.7213114754098361,0.7418032786885246
LG화학,60,0.2,0.5991735537190083,0.6322314049586777,0.5909090909090909
LG화학,60,0.4,0.5991735537190083,0.6322314049586777,0.5991735537190083
LG화학,60,0.6,0.5991735537190083,0.6322314049586777,0.6074380165289256
LG화학,60,0.8,0.5991735537190083,0.6322314049586777,0.6239669421487604
LG화학,120,0.2,0.6820083682008368,0.6861924686192469,0.6861924686192469
LG화학,120,0.4,0.6820083682008368,0.6861924686192469,0.6820083682008368
LG화학,120,0.6,0.6820083682008368,0.6861924686192469,0.6778242677824268
LG화학,120,0.8,0.6820083682008368,0.6861924686192469,0.6820083682008368
카카오,5,0.2,0.6755725190839694,0.6984732824427481,0.6717557251908397
카카오,5,0.4,0.6755725190839694,0.6984732824427481,0.6793893129770993
카카오,5,0.6,0.6755725190839694,0.6984732824427481,0.683206106870229
카카오,5,0.8,0.6755725190839694,0.6984732824427481,0.6793893129770993
카카오,20,0.2,0.8390804597701149,0.789272030651341,0.8390804597701149
카카오,20,0.4,0.8390804597701149,0.789272030651341,0.8352490421455939
카카오,20,0.6,0.8390804597701149,0.789272030651341,0.8275862068965517
카카오,20,0.8,0.8390804597701149,0.789272030651341,0.8160919540229885
카카오,60,0.2,0.9884169884169884,0.833976833976834,0.9884169884169884
카카오,60,0.4,0.9884169884169884,0.833976833976834,0.972972972972973
카카오,60,0.6,0.9884169884169884,0.833976833976834,0.9305019305019305
카카오,60,0.8,0.9884169884169884,0.833976833976834,0.8918918918918919
카카오,120,0.2,0.93359375,0.96484375,0.9765625
카카오,120,0.4,0.93359375,0.96484375,0.98046875
카카오,120,0.6,0.93359375,0.96484375,0.98828125
카카오,120,0.8,0.93359375,0.96484375,0.984375
NAVER,5,0.2,0.588495575221239,0.5752212389380531,0.5929203539823009
NAVER,5,0.4,0.588495575221239,0.5752212389380531,0.6017699115044248
NAVER,5,0.6,0.588495575221239,0.5752212389380531,0.5973451327433629
NAVER,5,0.8,0.588495575221239,0.5752212389380531,0.5929203539823009
NAVER,20,0.2,0.8133333333333334,0.8222222222222222,0.8222222222222222
NAVER,20,0.4,0.8133333333333334,0.8222222222222222,0.8222222222222222
NAVER,20,0.6,0.8133333333333334,0.8222222222222222,0.8133333333333334
NAVER,20,0.8,0.8133333333333334,0.8222222222222222,0.8133333333333334
NAVER,60,0.2,0.6502242152466368,0.6233183856502242,0.6547085201793722
NAVER,60,0.4,0.6502242152466368,0.6233183856502242,0.6636771300448431
NAVER,60,0.6,0.6502242152466368,0.6233183856502242,0.6636771300448431
NAVER,60,0.8,0.6502242152466368,0.6233183856502242,0.6412556053811659
NAVER,120,0.2,0.41363636363636364,0.5318181818181819,0.5136363636363637
NAVER,120,0.4,0.41363636363636364,0.5318181818181819,0.5272727272727272
NAVER,120,0.6,0.41363636363636364,0.5318181818181819,0.5318181818181819
NAVER,120,0.8,0.41363636363636364,0.5318181818181819,0.5318181818181819
현대차,5,0.2,0.6394557823129252,0.6938775510204082,0.6632653061224489
현대차,5,0.4,0.6394557823129252,0.6938775510204082,0.6632653061224489
현대차,5,0.6,0.6394557823129252,0.6938775510204082,0.6632653061224489
현대차,5,0.8,0.6394557823129252,0.6938775510204082,0.673469387755102
현대차,20,0.2,0.7781569965870307,0.757679180887372,0.7781569965870307
현대차,20,0.4,0.7781569965870307,0.757679180887372,0.7713310580204779
현대차,20,0.6,0.7781569965870307,0.757679180887372,0.764505119453925
현대차,20,0.8,0.7781569965870307,0.757679180887372,0.757679180887372
현대차,60,0.2,0.8487972508591065,0.7491408934707904,0.8419243986254296
현대차,60,0.4,0.8487972508591065,0.7491408934707904,0.8316151202749141
현대차,60,0.6,0.8487972508591065,0.7491408934707904,0.8178694158075601
현대차,60,0.8,0.8487972508591065,0.7491408934707904,0.7938144329896907
현대차,120,0.2,0.7638888888888888,0.7847222222222222,0.7673611111111112
현대차,120,0.4,0.7638888888888888,0.7847222222222222,0.7673611111111112
현대차,120,0.6,0.7638888888888888,0.7847222222222222,0.7743055555555556
현대차,120,0.8,0.7638888888888888,0.7847222222222222,0.7777777777777778
