종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원),price
005930,삼성전자,"79,300",-500,0.63,"709,305,479,100","473,403,756,215,000",473403756215000
000660,SK하이닉스,"124,000","1,000",0.81,"257,152,810,000","90,272,293,260,000",90272293260000
035420,NAVER,"441,500",500,0.11,"350,001,635,500","72,522,288,892,500",72522288892500
035720,카카오,"162,000","1,000",0.62,"482,145,697,500","72,002,557,260,000",72002557260000
051910,LG화학,"849,000","9,000",1.07,"171,219,892,000","59,932,899,207,000",59932899207000
207940,삼성바이오로직스,"860,000","-5,000",0.58,"28,862,799,000","56,901,900,000,000",56901900000000
006400,삼성SDI,"747,000","-3,000",0.4,"134,270,412,000","51,367,103,910,000",51367103910000
005380,현대차,"230,000",0,0.0,"119,693,291,500","49,143,683,010,000",49143683010000
068270,셀트리온,"260,500","-2,500",0.95,"77,005,770,000","35,927,257,107,000",35927257107000
000270,기아,"88,000",100,0.11,"113,048,394,500","35,671,974,536,000",35671974536000
005490,POSCO,"341,500","-3,500",1.01,"67,042,725,000","29,774,304,152,500",29774304152500
012330,현대모비스,"282,000","-2,000",0.7,"34,456,519,500","26,731,652,508,000",26731652508000
051900,LG생활건강,"1,697,000","-40,000",2.3,"39,093,632,000","26,504,080,309,000",26504080309000
066570,LG전자,"160,500","-3,000",1.83,"95,438,282,500","26,265,474,147,000",26265474147000
096770,SK이노베이션,"271,500","-1,000",0.37,"96,775,406,000","25,104,400,626,000",25104400626000
028260,삼성물산,"134,000","1,500",1.13,"34,377,030,500","25,042,868,854,000",25042868854000
017670,SK텔레콤,"320,500","-5,000",1.54,"40,313,849,500","23,095,275,831,500",23095275831500
011170,롯데케미칼,"269,000",0,0.0,"67,047,855,500","9,220,087,711,000",9220087711000
010130,고려아연,"478,000","48,000",11.16,"204,188,450,000","9,019,860,000,000",9019860000000
009540,한국조선해양,"126,500","-1,000",0.78,"22,095,974,000","8,952,799,174,000",8952799174000
018880,한온시스템,"16,250",0,0.0,"17,855,367,150","8,674,250,000,000",8674250000000
030200,KT,"33,000",-100,0.3,"20,076,467,750","8,616,689,664,000",8616689664000
034220,LG디스플레이,"23,200",-250,1.07,"38,102,642,100","8,301,324,240,000",8301324240000
009830,한화솔루션,"42,950",-700,1.6,"33,295,818,750","8,215,411,446,150",8215411446150
316140,우리금융지주,"11,300",-100,0.88,"8,723,561,250","8,161,624,817,900",8161624817900
024110,기업은행,"10,250",-100,0.97,"6,837,619,200","7,629,081,016,750",7629081016750
086280,현대글로비스,"199,000","-2,000",1.0,"19,326,821,500","7,462,500,000,000",7462500000000
004020,현대제철,"52,000",-800,1.52,"19,986,758,200","6,939,180,820,000",6939180820000
097950,CJ제일제당,"454,500","10,000",2.25,"18,315,049,000","6,842,127,537,000",6842127537000
011780,금호석유,"221,000","1,000",0.45,"65,867,597,000","6,733,359,711,000",6733359711000
032640,LG유플러스,"14,850",50,0.34,"18,954,616,050","6,483,678,710,850",6483678710850
000720,현대건설,"57,700",-800,1.37,"25,891,209,000","6,425,227,640,500",6425227640500
161390,한국타이어앤테크놀로지,"51,200",-600,1.16,"5,073,019,500","6,342,403,532,800",6342403532800
011790,SKC,"159,500","-1,500",0.93,"61,200,103,500","6,039,993,531,000",6039993531000
006800,미래에셋증권,"9,180",-150,1.61,"9,541,100,140","5,832,204,625,440",5832204625440
071050,한국금융지주,"103,500","2,000",1.97,"53,345,905,500","5,767,640,172,000",5767640172000
021240,코웨이,"77,700",-300,0.38,"7,020,390,700","5,734,230,396,300",5734230396300
267250,현대중공업지주,"69,600",100,0.14,"9,091,295,400","5,497,918,716,000",5497918716000
035250,강원랜드,"25,600",-550,2.1,"15,830,220,800","5,476,876,800,000",5476876800000
008930,한미사이언스,"80,400","-2,300",2.78,"21,666,224,100","5,411,290,724,400",5411290724400
011070,LG이노텍,"224,500","1,500",0.67,"43,396,157,500","5,313,265,521,500",5313265521500
002790,아모레G,"61,900",-500,0.8,"6,323,801,900","5,104,161,342,000",5104161342000
241560,두산밥캣,"48,700",-300,0.61,"4,282,279,350","4,882,134,384,200",4882134384200
271560,오리온,"118,000",0,0.0,"3,881,209,500","4,665,263,576,000",4665263576000
028050,삼성엔지니어링,"23,300",750,3.33,"64,017,116,200","4,566,800,000,000",4566800000000
139480,이마트,"157,500",0,0.0,"11,423,339,000","4,390,441,492,500",4390441492500
000100,유한양행,"62,100",-400,0.64,"6,674,734,000","4,345,320,753,900",4345320753900
180640,한진칼,"64,700",-700,1.07,"3,194,951,000","4,317,900,204,400",4317900204400
000120,CJ대한통운,"184,000","-1,000",0.54,"4,909,778,500","4,197,471,296,000",4197471296000
078930,GS,"45,050",-200,0.44,"5,250,620,650","4,185,837,778,900",4185837778900
010140,삼성중공업,"6,590",-80,1.2,"17,128,463,990","4,151,700,000,000",4151700000000
128940,한미약품,"338,500","-3,000",0.88,"8,311,594,500","4,088,498,457,000",4088498457000
003410,쌍용C&E,"8,040",-140,1.71,"5,517,700,850","4,051,031,143,800",4051031143800
029780,삼성카드,"34,950",200,0.58,"5,164,416,750","4,049,268,240,450",4049268240450
028670,팬오션,"7,530",-210,2.71,"66,250,737,840","4,025,308,425,360",4025308425360
004990,롯데지주,"38,350",-550,1.41,"6,234,686,400","4,023,269,238,950",4023269238950
005830,DB손해보험,"55,600",-200,0.36,"6,394,634,900","3,936,480,000,000",3936480000000
298020,효성티앤씨,"898,000","-8,000",0.88,"32,943,802,000","3,886,258,436,000",3886258436000
016360,삼성증권,"43,400",-200,0.46,"4,933,052,550","3,875,620,000,000",3875620000000
006360,GS건설,"44,300",0,0.0,"26,388,935,150","3,791,260,007,000",3791260007000
006280,녹십자,"322,500","-1,000",0.31,"10,257,316,000","3,768,908,505,000",3768908505000
008770,호텔신라,"93,700","-1,600",1.68,"25,357,099,200","3,677,548,937,700",3677548937700
042660,대우조선해양,"33,250",-300,0.89,"9,028,940,950","3,567,414,744,250",3567414744250
005940,NH투자증권,"12,500",-50,0.4,"3,081,845,100","3,517,611,087,500",3517611087500
020150,일진머티리얼즈,"75,700","3,900",5.43,"63,085,057,500","3,490,590,209,500",3490590209500
019170,신풍제약,"64,200",0,0.0,"71,441,032,200","3,401,636,358,000",3401636358000
112610,씨에스윈드,"80,400",500,0.63,"58,369,697,300","3,390,580,801,200",3390580801200
042670,두산인프라코어,-,0,0.0,0,"3,340,774,397,000",3340774397000
047810,한국항공우주,"33,750",-700,2.03,"16,066,417,200","3,289,784,861,250",3289784861250
008560,메리츠증권,"4,805",-65,1.33,"4,968,197,740","3,275,715,432,095",3275715432095
036460,한국가스공사,"35,450",50,0.14,"8,106,635,150","3,272,495,850,000",3272495850000
009240,한샘,"138,000","20,500",17.45,"455,060,508,500","3,247,682,064,000",3247682064000
081660,휠라홀딩스,"53,300",-300,0.56,"16,815,090,600","3,238,093,432,600",3238093432600
272210,한화시스템,"16,900",-150,0.88,"8,051,048,750","3,192,737,674,100",3192737674100
039490,키움증권,"121,500","-1,500",1.22,"5,735,139,000","3,182,207,593,500",3182207593500
012750,에스원,"83,400","-1,000",1.18,"5,860,018,200","3,169,131,445,200",3169131445200
023530,롯데쇼핑,"111,000","-2,000",1.77,"4,532,005,500","3,140,051,805,000",3140051805000
010620,현대미포조선,"78,100","-1,400",1.76,"22,459,467,400","3,119,481,836,900",3119481836900
336260,두산퓨얼셀,"47,500",-100,0.21,"14,951,621,250","3,110,951,985,000",3110951985000
047040,대우건설,"7,350",-30,0.41,"19,432,007,760","3,054,826,389,300",3054826389300
088350,한화생명,"3,480",-105,2.93,"13,126,802,705","3,022,484,400,000",3022484400000
285130,SK케미칼,"256,500","7,500",3.01,"21,922,961,000","3,014,233,074,000",3014233074000
005440,현대그린푸드,"10,200",-100,0.97,"1,555,741,800","996,585,716,400",996585716400
006120,SK디스커버리,"50,800","1,150",2.32,"2,640,832,750","967,123,034,000",967123034000
006040,동원산업,"253,500","-1,000",0.39,"1,269,371,500","932,281,993,500",932281993500
108670,LX하우시스,"103,500",0,0.0,"7,519,806,500","928,153,845,000",928153845000
001680,대상,"26,650",-200,0.74,"2,456,645,250","923,369,866,250",923369866250
002350,넥센타이어,"9,350",-250,2.6,"4,198,879,380","913,194,649,950",913194649950
079550,LIG넥스원,"41,150",-200,0.48,"3,762,943,000","905,300,000,000",905300000000
000070,삼양홀딩스,"104,500",0,0.0,"1,049,127,000","894,966,319,500",894966319500
105630,한세실업,"22,300",-300,1.33,"3,176,052,450","892,000,000,000",892000000000
192400,쿠쿠홀딩스,"120,000","-1,000",0.83,"876,938,000","853,492,440,000",853492440000
049770,동원F&B,"215,000","-3,500",1.6,"1,566,013,000","829,711,660,000",829711660000
383800,LX홀딩스,"10,850",-100,0.91,"3,012,450,150","827,645,486,500",827645486500
071840,롯데하이마트,"34,850",0,0.0,"2,305,057,650","822,728,763,200",822728763200
115390,락앤락,"14,100",0,0.0,"482,461,850","747,407,695,800",747407695800
007570,일양약품,"35,400",-500,1.39,"4,674,981,450","675,632,505,600",675632505600
003230,삼양식품,"89,500",-100,0.11,"1,078,027,200","674,204,842,500",674204842500
001060,JW중외제약,"29,900",-250,0.83,"1,255,800,700","644,043,787,400",644043787400
007700,F&F홀딩스,"36,350",0,0.0,"1,361,282,800","281,297,564,750",281297564750
